subject_q,subject,object_q,object,instance_of_q,instance_of
Q126456441,Columbkille's Well,Q120966194,Historic Environment Viewer (Ireland),Q8513,database
Q126456441,Columbkille's Well,Q120966194,Historic Environment Viewer (Ireland),Q116275715,Web GIS
Q126456441,Columbkille's Well,Q126374601,O'Kelly: The Place-Names of County Kilkenny,Q193495,monograph
Q126456441,Columbkille's Well,Q126393245,The Schools' Collection,Q461183,text corpus
Q126456441,Columbkille's Well,Q126393245,The Schools' Collection,Q112149183,folklore collection
Q126456441,Columbkille's Well,Q126507417,Q126507417,,
Q126456441,Columbkille's Well,Q126528008,6 Inch First Edition Ordnance Survey map of Ireland,Q4006,map
Q126456441,Columbkille's Well,Q126540348,25 inch mapping series (Ireland),Q4006,map
Q126456441,Columbkille's Well,Q126555558,6 Inch Last Edition Ordnance Survey map of Ireland,Q4006,map
Q126456441,Columbkille's Well,Q126875543,Q126875543,,
Q126456441,Columbkille's Well,Q127278549,Nooks and Corners of County Kilkenny by Paris Anderson,Q571,book
Q126456441,Columbkille's Well,Q129903535,Q129903535,,
Q126456441,Columbkille's Well,Q129916785,Q129916785,,
Q126456441,Columbkille's Well,Q130265580,"Bruce Misstear: Wells and Wellbeing - The Hydrogeology of Irish Holy Wells, 2023",Q193495,monograph
Q126456441,Columbkille's Well,Q130284129,6 inch Second Edition Ordnance Survey map of County Kilkenny,Q4006,map
Q126456441,Columbkille's Well,Q132817615,"Survey of Holy Wells County Kilkenny Phase 1 and Phase 2. A report prepared for Kilkenny County Council Heritage Office as an action of the  Kilkenny Heritage Plan, 2024",Q10870555,report
Q126456441,Columbkille's Well,Q132817615,"Survey of Holy Wells County Kilkenny Phase 1 and Phase 2. A report prepared for Kilkenny County Council Heritage Office as an action of the  Kilkenny Heritage Plan, 2024",Q124312506,geospatial dataset
Q126456441,Columbkille's Well,Q133809285,"St. Columcille & St. Mary's Graveyard Inscriptions Inistioge, Co. Kilkenny",Q193495,monograph
Q126456441,Columbkille's Well,Q133861888,Q133861888,,
