subject,predicate,object
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P10,http://commons.wikimedia.org/wiki/Special:FilePath/Kenny%27s%20Well%20before%20restoration.webm
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q27
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/Kenny%27s%20Well%203.png
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/Kenny%27s%20Well.jpg
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q10713454
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105889895
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q126443332
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P110,http://www.wikidata.org/entity/Q56986634
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q180231
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q104265435
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q1133742
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q126875543
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q132817615
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P217,75
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P217,KHW109
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P373,Kenny's Well
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P625,Point(-7.26219 52.65325)
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P708,http://www.wikidata.org/entity/Q873607
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P973,https://kilkennyarchaeologicalsociety.ie/reputed-holy-wells-of-the-city-of-kilkenny/
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P973,https://www.stcanicesparish.ie/st-canices-church/kennys-well/
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P973,https://ihwcbc.omeka.net/items/show/288
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P973,https://irelandsholywells.blogspot.com/2011/09/saint-canices-well-kilkenny.html
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P973,https://www.kilkennypeople.ie/news/home/584203/plan-to-refurbish-kennys-well-after-historic-kilkenny-wall-falls-down.html
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1325,https://sketchfab.com/3d-models/kennys-well-indoors-low-poly-685c7b9d3b0e4ba09e222633342cfcc3
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q116166792
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q120966194
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q120968926
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126374601
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126393245
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126454465
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126528008
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126540348
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126555558
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126871352
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126875543
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q127278423
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q127278616
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q127524368
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q127606032
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q127619817
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q127691937
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q128609273
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q128611740
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q128613270
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q129421697
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q129905816
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q129920399
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q129997144
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q130265580
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q130284129
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q130308814
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q130362725
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q130471945
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q130486611
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q132817615
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q133260886
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q133575033
http://www.wikidata.org/entity/Q114439798,http://www.wikidata.org/prop/direct/P4057,KK019-024----
