subject,predicate,object
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q41
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3238337
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q204905
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q94299853
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q34726
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P373,Kallichoron
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P625,Point(23.53916 38.04192)
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q26314
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P1080,http://www.wikidata.org/entity/Q34726
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q1138524
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q3825645
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P1441,http://www.wikidata.org/entity/Q3798927
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P2671,/g/121v6_t6
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P3342,http://www.wikidata.org/entity/Q40730
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P8069,17742
http://www.wikidata.org/entity/Q572441,http://www.wikidata.org/prop/direct/P9736,10185088
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q27
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124714
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q126443332
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q180231
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q60553607
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q165479
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q126875543
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q132817615
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P217,25
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P217,KHW089
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P625,Point(-7.5555955 52.7225113)
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P708,http://www.wikidata.org/entity/Q873607
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q116166792
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q120966194
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126374601
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126393245
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126474972
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126528008
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126540348
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126555558
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126875543
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q129407299
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q130308814
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q132817615
http://www.wikidata.org/entity/Q126443543,http://www.wikidata.org/prop/direct/P4057,KK012-007----
