subject_q,p_label,predicate,value
Q126456441,video,P10,http://commons.wikimedia.org/wiki/Special:FilePath/St%20Colombkille%27s%20Well.webm
Q126456441,inventory number,P217,91
Q126456441,inventory number,P217,KHW056
Q126456441,Commons category,P373,"St Columbkill's Well, Inistioge"
Q126456441,Irish Sites and Monuments Record ID,P4057,KK032-017011-
Q126456441,Wiki Loves Monuments ID,P2186,IE-KK-0316
Q126456441,OpenStreetMap node ID,P11693,8513597500
Q126456441,YouTube video ID,P1651,kxRnXwX0HAM
Q126456441,YouTube video ID,P1651,kxRnXwX0HAM
Q126456441,OpenStreetMap node ID,P11693,8513597500
Q126456441,OpenStreetMap node ID,P11693,8513597500
