P-code,Label
P10,video
P1050,medical condition
P10689,OpenStreetMap way ID
P110,illustrator
P11693,OpenStreetMap node ID
P131,located in the administrative territorial entity
P1325,external data available at URL
P1343,described by source
P138,named after
P1651,YouTube video ID
P17,country
P18,image
P1801,plaque image
P195,collection
P217,inventory number
P2175,medical condition treated
P2186,Wiki Loves Monuments ID
P2441,literal translation
P276,location
P31,instance of
P3342,significant person
P373,Commons category
P403,mouth of the watercourse
P4057,Irish Sites and Monuments Record ID
P4088,Irish National Inventory of Architectural Heritage ID
P417,patron saint
P51,audio
P571,inception
P5816,state of conservation
P5817,state of use
P625,coordinate location
P6375,street address
P6500,non-free artwork image URL
P708,diocese
P7959,historic county
P841,feast day
P973,described at URL
