Q-code,Label
Q0,Q0
Q1004210,bullaun
Q101971,wart
Q104264292,Westcourt South
Q104264320,Dukesmeadows
Q104264337,Listerlin
Q104264338,Aughkiletaun
Q104264348,Cotterellsbooly
Q104264360,Bayswell
Q104264375,Baunballinlough
Q104264390,Grangefertagh
Q104264421,Rathlogan
Q104264439,Boggan
Q104264441,Skeaghcroum
Q104264454,Kildrinagh
Q104264478,Clomantagh Lower
Q104264481,Tubbrid Upper
Q104264497,Kilbraghan
Q104264500,Kyleballynamoe
Q104264540,Pottlerath
Q104264555,Oldcastle Lower
Q104264600,Tullaroan
Q104264662,Tobernapeastia
Q104264678,Kiltrassy
Q104264685,Kylenaskeagh
Q104264699,Clontubbrid
Q104264708,Baunta Commons
Q104264715,Kilminnick West
Q104264718,Knockroe
Q104264731,Mill Island
Q104264740,Brabstown
Q104264753,Knockroe
Q104264803,Glencommaun
Q104264804,Killonerry
Q104264818,Castletown
Q104264838,Coolaghmore
Q104264842,Kilballykeefe
Q104264857,Kilmacoliver
Q104264885,Tibberaghny
Q104264933,Riesk
Q104264941,Rathbeagh
Q104264950,Tullamaine (Ashbrook)
Q104264971,Desart Demesne
Q104264975,Toberbreedia
Q104264985,Owning
Q104265004,Rossdama
Q104265041,Rogerstown
Q104265054,Castle Eve
Q104265087,Tinnalintan
Q104265095,Castlemarket
Q104265111,Kilmanahin
Q104265119,Conahy
Q104265131,Kildalton
Q104265132,Fiddown
Q104265148,Foulksrath
Q104265152,Garryduff
Q104265176,Ovenstown
Q104265195,Newtown (Shea)
Q104265200,Castleinch or Inchyolaghan
Q104265202,Dunnamaggan West
Q104265225,Mullenbeg
Q104265230,Jenkinstown
Q104265235,Burnchurch
Q104265253,Troyswood
Q104265255,Clonmore
Q104265256,Templeorum
Q104265284,Kilmacar
Q104265308,Kilmogue
Q104265311,Graigavine
Q104265331,Kilmog or Racecourse
Q104265337,Ballyrafton
Q104265348,Garrynamann Lower
Q104265371,Jamesgreen
Q104265424,Sheepstown
Q104265431,Afaddy
Q104265435,Gardens
Q104265443,Portnascully
Q104265473,Donaguile
Q104265497,Gardens
Q104265537,Ballygorey
Q104265543,Rathkieran
Q104265569,Kilkeasy
Q104265579,Kiltown
Q104265585,Garrygaug
Q104265588,Leggetsrath West
Q104265616,Kilmadum
Q104265623,Muckalee
Q104265640,Knocktopher Abbey
Q104265682,Redacres North
Q104265699,Aughatubbrid or Chatsworth
Q104265724,Ardra
Q104265736,Drumgoole
Q104265770,Derrynahinch
Q104265812,Portnahully
Q104265826,Jerpointchurch
Q104265836,Rathcash West
Q104265846,Granny
Q104265855,Clogharinka
Q104265875,Mountnugent Lower
Q104265878,John's Well
Q104265893,Kilmagar
Q104265954,Croghtenclogh
Q104266023,Mullennakill
Q104266052,Grangehill
Q104266134,Earlsbog Commons
Q104266184,Kilmacshane
Q104266220,Inistioge
Q104266227,Davidstown
Q104266239,Kilmurry
Q104266248,Cappagh
Q104266262,Kilbride
Q104266270,Kilcross
Q104266315,Flemingstown
Q104266318,Kilkieran
Q104266335,Grange Lower
Q104266348,Clonamery
Q104266356,Ballyneale
Q104266362,Rathinure
Q104266381,Carrickcloney
Q104266383,Tikerlevan
Q104266435,Shanbogh Upper
Q104266439,Barrowmount
Q104266457,Pollagh
Q104266487,Farrantemple
Q104266524,Carranroe Upper
Q104266527,Brandondale
Q104266544,Ullard
Q104266559,Kilconnelly
Q104271216,Donaghmore
Q1048506,River Nore
Q1049799,water resource
Q105889895,religious site
Q106813818,oral history
Q10713454,water source
Q107194475,spout
Q107257053,clootie tree
Q10874,blindness
Q10884,tree
Q109092,Kilkenny
Q1110134,Colmán of Lindisfarne
Q111286333,location of worship
Q1131989,Gowran
Q1133742,Cainnech of Aghaboe
Q114439798,Kenny's Well
Q1146843,anchorite
Q116166792,The History and Antiquities of the Diocese of Ossory II
Q116690389,GSGS 3906
Q1188398,flagstone
Q120966194,Historic Environment Viewer (Ireland)
Q120968926,Patrick M. Egan: The illustrated guide to the city and county of Kilkenny
Q121840779,St. Lachtain's Well
Q121842432,Saint Fiachra's Well
Q12204,tuberculosis
Q122114442,Church Well
Q122169828,Toberpatrick
Q122189562,Saint Augustine's Well
Q122222699,Toberbride
Q122258856,Saint Columbkille's Well
Q122258894,Saint Fiacre's Well
Q122258906,Lady's Well
Q122258940,Toberbride
Q122258994,Saint Scoheen's Well
Q122302328,Tober Muire
Q122302608,St. Kieran’s Well
Q122302960,Tubbernamuchthee
Q122303248,Church Well
Q122303936,Saint Luke's Well
Q122304309,Saint Molin's Well (Mullennakill)
Q122304728,Toberkyle
Q122306022,Tobermolua
Q122306366,Lady's Well
Q122307282,Angel's Well
Q122307310,Tobar na súl
Q122307327,St. Monchin’s Well
Q122307353,Saint Kieran's Well
Q124714,spring
Q126374490,Trinity Well
Q126374601,O'Kelly: The Place-Names of County Kilkenny
Q126380347,Cruckny Well
Q126385950,Lady's Well
Q126388499,Our Lady's Well
Q126393245,The Schools' Collection
Q126435825,Saint Brendan's Well
Q126436485,Saint Brigid's Well
Q126438084,Holy Trinity Well
Q126442215,Well of the Virgin
Q126443332,Holy Well Semantic Concept
Q126443543,Toberpatrick
Q126445800,Saint Dallan's Well
Q126447016,Bastionfort Well
Q126448411,Saint Colman's Well
Q126448724,Our Lady's Well
Q126449613,Tobercanice
Q126454380,St Mary's Well
Q126454393,Monastery Well
Q126454405,St. Finan's Well
Q126454422,St Leonard's Well
Q126454436,Cáit Ryder's Well
Q126454444,Well of the Rags
Q126454465,The History and Antiquities of the Diocese of Ossory III
Q126454471,St. Bridget's Well
