subject_q,url,url_underscore,qualifier_property,qualifier_value,qualifier_value_p31,qualifier_value_p31_label
Q114439798,https://www.stcanicesparish.ie/st-canices-church/kennys-well/,https:__www.stcanicesparish.ie_st-canices-church_kennys-well_,language of work or name,English,Q33742,natural language
Q114439798,https://ihwcbc.omeka.net/items/show/288,https:__ihwcbc.omeka.net_items_show_288,language of work or name,English,Q33742,natural language
Q114439798,https://kilkennyarchaeologicalsociety.ie/reputed-holy-wells-of-the-city-of-kilkenny/,https:__kilkennyarchaeologicalsociety.ie_reputed-holy-wells-of-the-city-of-kilkenny_,language of work or name,English,Q33742,natural language
Q114439798,https://irelandsholywells.blogspot.com/2011/09/saint-canices-well-kilkenny.html,https:__irelandsholywells.blogspot.com_2011_09_saint-canices-well-kilkenny.html,language of work or name,English,Q33742,natural language
Q114439798,https://www.kilkennypeople.ie/news/home/584203/plan-to-refurbish-kennys-well-after-historic-kilkenny-wall-falls-down.html,https:__www.kilkennypeople.ie_news_home_584203_plan-to-refurbish-kennys-well-after-historic-kilkenny-wall-falls-down.html,language of work or name,English,Q33742,natural language
Q114439798,https://www.stcanicesparish.ie/st-canices-church/kennys-well/,https:__www.stcanicesparish.ie_st-canices-church_kennys-well_,language of work or name,English,Q9779,alphabet
Q114439798,https://ihwcbc.omeka.net/items/show/288,https:__ihwcbc.omeka.net_items_show_288,language of work or name,English,Q9779,alphabet
Q114439798,https://kilkennyarchaeologicalsociety.ie/reputed-holy-wells-of-the-city-of-kilkenny/,https:__kilkennyarchaeologicalsociety.ie_reputed-holy-wells-of-the-city-of-kilkenny_,language of work or name,English,Q9779,alphabet
Q114439798,https://irelandsholywells.blogspot.com/2011/09/saint-canices-well-kilkenny.html,https:__irelandsholywells.blogspot.com_2011_09_saint-canices-well-kilkenny.html,language of work or name,English,Q9779,alphabet
Q114439798,https://www.kilkennypeople.ie/news/home/584203/plan-to-refurbish-kennys-well-after-historic-kilkenny-wall-falls-down.html,https:__www.kilkennypeople.ie_news_home_584203_plan-to-refurbish-kennys-well-after-historic-kilkenny-wall-falls-down.html,language of work or name,English,Q9779,alphabet
Q114439798,https://www.stcanicesparish.ie/st-canices-church/kennys-well/,https:__www.stcanicesparish.ie_st-canices-church_kennys-well_,language of work or name,English,Q34770,language
Q114439798,https://ihwcbc.omeka.net/items/show/288,https:__ihwcbc.omeka.net_items_show_288,language of work or name,English,Q34770,language
Q114439798,https://kilkennyarchaeologicalsociety.ie/reputed-holy-wells-of-the-city-of-kilkenny/,https:__kilkennyarchaeologicalsociety.ie_reputed-holy-wells-of-the-city-of-kilkenny_,language of work or name,English,Q34770,language
Q114439798,https://irelandsholywells.blogspot.com/2011/09/saint-canices-well-kilkenny.html,https:__irelandsholywells.blogspot.com_2011_09_saint-canices-well-kilkenny.html,language of work or name,English,Q34770,language
Q114439798,https://www.kilkennypeople.ie/news/home/584203/plan-to-refurbish-kennys-well-after-historic-kilkenny-wall-falls-down.html,https:__www.kilkennypeople.ie_news_home_584203_plan-to-refurbish-kennys-well-after-historic-kilkenny-wall-falls-down.html,language of work or name,English,Q34770,language
Q114439798,https://www.stcanicesparish.ie/st-canices-church/kennys-well/,https:__www.stcanicesparish.ie_st-canices-church_kennys-well_,language of work or name,English,Q152559,macrolanguage
Q114439798,https://www.stcanicesparish.ie/st-canices-church/kennys-well/,https:__www.stcanicesparish.ie_st-canices-church_kennys-well_,language of work or name,English,Q399495,standard language
Q114439798,https://ihwcbc.omeka.net/items/show/288,https:__ihwcbc.omeka.net_items_show_288,language of work or name,English,Q152559,macrolanguage
Q114439798,https://ihwcbc.omeka.net/items/show/288,https:__ihwcbc.omeka.net_items_show_288,language of work or name,English,Q399495,standard language
Q114439798,https://kilkennyarchaeologicalsociety.ie/reputed-holy-wells-of-the-city-of-kilkenny/,https:__kilkennyarchaeologicalsociety.ie_reputed-holy-wells-of-the-city-of-kilkenny_,language of work or name,English,Q152559,macrolanguage
Q114439798,https://kilkennyarchaeologicalsociety.ie/reputed-holy-wells-of-the-city-of-kilkenny/,https:__kilkennyarchaeologicalsociety.ie_reputed-holy-wells-of-the-city-of-kilkenny_,language of work or name,English,Q399495,standard language
Q114439798,https://irelandsholywells.blogspot.com/2011/09/saint-canices-well-kilkenny.html,https:__irelandsholywells.blogspot.com_2011_09_saint-canices-well-kilkenny.html,language of work or name,English,Q152559,macrolanguage
Q114439798,https://irelandsholywells.blogspot.com/2011/09/saint-canices-well-kilkenny.html,https:__irelandsholywells.blogspot.com_2011_09_saint-canices-well-kilkenny.html,language of work or name,English,Q399495,standard language
